Arial,Builtin,Windows 10
Arial Black,Builtin,Windows 10
Bahnschrift,Builtin,Windows 10
Calibri,Builtin,Windows 10
Cambria,Builtin,Windows 10
Cambria Math,Builtin,Windows 10
Candara,Builtin,Windows 10
Comic Sans MS,Builtin,Windows 10
Consolas,Builtin,Windows 10
Constantia,Builtin,Windows 10
Corbel,Builtin,Windows 10
Courier New,Builtin,Windows 10
Ebrima,Builtin,Windows 10
Franklin Gothic Medium,Builtin,Windows 10
Gabriola,Builtin,Windows 10
Gadugi,Builtin,Windows 10
Georgia,Builtin,Windows 10
HoloLens MDL2 Assets,Builtin,Windows 10
Impact,Builtin,Windows 10
Ink Free,Builtin,Windows 10
Javanese Text,Builtin,Windows 10
Leelawadee UI,Builtin,Windows 10
Lucida Console,Builtin,Windows 10
Lucida Sans Unicode,Builtin,Windows 10
Malgun Gothic,Builtin,Windows 10
Marlett,Builtin,Windows 10
Microsoft Himalaya,Builtin,Windows 10
Microsoft JhengHei,Builtin,Windows 10
Microsoft JhengHei UI,Builtin,Windows 10
Microsoft New Tai Lue,Builtin,Windows 10
Microsoft PhagsPa,Builtin,Windows 10
Microsoft Sans Serif,Builtin,Windows 10
Microsoft Tai Le,Builtin,Windows 10
Microsoft YaHei,Builtin,Windows 10
Microsoft YaHei UI,Builtin,Windows 10
Microsoft Yi Baiti,Builtin,Windows 10
MingLiU-ExtB,Builtin,Windows 10
PMingLiU-ExtB,Builtin,Windows 10
MingLiU_HKSCS-ExtB,Builtin,Windows 10
Mongolian Baiti,Builtin,Windows 10
MS Gothic,Builtin,Windows 10
MS PGothic,Builtin,Windows 10
MS UI Gothic,Builtin,Windows 10
MV Boli,Builtin,Windows 10
Myanmar Text,Builtin,Windows 10
Nirmala UI,Builtin,Windows 10
Palatino Linotype,Builtin,Windows 10
Segoe MDL2 Assets,Builtin,Windows 10
Segoe Print,Builtin,Windows 10
Segoe Script,Builtin,Windows 10
Segoe UI,Builtin,Windows 10
Segoe UI Historic,Builtin,Windows 10
Segoe UI Emoji,Builtin,Windows 10
Segoe UI Symbol,Builtin,Windows 10
SimSun,Builtin,Windows 10
NSimSun,Builtin,Windows 10
SimSun-ExtB,Builtin,Windows 10
Sitka,Builtin,Windows 10
Sylfaen,Builtin,Windows 10
Symbol,Builtin,Windows 10
Tahoma,Builtin,Windows 10
Times New Roman,Builtin,Windows 10
Trebuchet MS,Builtin,Windows 10
Verdana,Builtin,Windows 10
Webdings,Builtin,Windows 10
Wingdings,Builtin,Windows 10
Yu Gothic,Builtin,Windows 10
Yu Gothic UI,Builtin,Windows 10
Aldhabi,Arabic,Windows 10
Andalus,Arabic,Windows 10
Arabic Typesetting,Arabic,Windows 10
Microsoft Uighur,Arabic,Windows 10
Sakkal Majalla,Arabic,Windows 10
Simplified Arabic,Arabic,Windows 10
Simplified Arabic Fixed,Arabic,Windows 10
Traditional Arabic,Arabic,Windows 10
Urdu Typesetting,Arabic,Windows 10
Shonar Bangla,Bangla Script,Windows 10
Vrinda,Bangla Script,Windows 10
Euphemia,Canadian Aboriginal Syllabics,Windows 10
Plantagenet Cherokee,Cherokee,Windows 10
Aparajita,Devanagari,Windows 10
Kokila,Devanagari,Windows 10
Mangal,Devanagari,Windows 10
Sanskrit Text,Devanagari,Windows 10
Utsaah,Devanagari,Windows 10
Nyala,Ethiopic,Windows 10
